InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,ZipCode,Married,ReturnRate,Age,Income,Work,Edcation
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2020-12-01T08:26,2.55,17850,21230,1,0.117521368,34,88,7,2
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2020-12-01T08:45,3.75,12583,22301,1,0.281868414,48,174,7,1
536378,20723,STRAWBERRY CHARLOTTE BAG,10,2020-12-01T09:37,0.85,14688,19002,1,0.27417694,64,141,9,1
536381,21533,RETROSPOT LARGE MILK JUG,1,2020-12-01T09:41,4.95,15311,22304,0,0.143550771,80,101,7,3
536385,22168,ORGANISER WOOD ANTIQUE WHITE ,2,2020-12-01T09:56,8.5,17420,20124,0,0,98,129,8,1
536390,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2020-12-01T10:19,3.39,17511,22033,0,0,29,154,9,1
536394,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,2020-12-01T10:39,1.25,13408,8757,1,0,26,125,2,1
536401,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,2020-12-01T11:21,4.25,15862,8109,0,0,57,107,9,1
536401,22502,PICNIC BASKET WICKER SMALL,2,2020-12-01T11:21,5.95,15862,21122,0,1,98,116,7,2
536404,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2020-12-01T11:29,1.25,16218,21208,0,0.537414966,62,76,5,2
536404,84992,72 SWEETHEART FAIRY CAKE CASES,24,2020-12-01T11:29,0.55,16218,21044,0,0,76,92,11,2
536406,20679,EDWARDIAN PARASOL RED,6,2020-12-01T11:33,4.95,17850,22153,0,0,66,122,4,3
536409,21811,CHRISTMAS HANGING HEART WITH BELL,1,2020-12-01T11:45,1.25,17908,21158,0,0.142774955,71,87,6,3
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2020-12-01T11:45,2.95,17908,20782,1,0.262365938,29,138,8,2
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2020-12-01T11:49,2.95,17920,21061,0,1,43,56,11,2
536415,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2020-12-01T11:57,0.55,12838,22901,0,0,30,79,1,1
536415,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,3,2020-12-01T11:57,1.65,12838,19114,1,0,33,69,1,2
536415,22469,HEART OF WICKER SMALL,5,2020-12-01T11:57,1.65,12838,19053,1,0,48,156,6,2
536420,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8,2020-12-01T12:03,2.55,16583,8873,0,0,68,84,4,1
536425,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2020-12-01T12:08,1.45,13758,19130,1,0.173449416,95,172,7,2
536446,20774,GREEN FERN NOTEBOOK,2,2020-12-01T12:15,1.65,15983,20015,0,1,60,165,8,3
536477,22571,ROCKING HORSE RED CHRISTMAS ,96,2020-12-01T12:27,0.72,16210,20005,0,0,86,157,7,1
536488,21577,SAVE THE PLANET COTTON TOTE BAG,1,2020-12-01T12:31,2.25,17897,22601,0,0,21,76,10,3
536522,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,2020-12-01T12:49,3.75,15012,22182,1,0.358868719,22,145,2,3
536528,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2020-12-01T13:17,2.95,15525,22151,1,2.136894825,74,96,6,2
536528,22744,MAKE YOUR OWN MONSOON CARD KIT,2,2020-12-01T13:17,2.95,15525,19002,0,0.289724672,52,166,9,3
536530,22097,SWALLOW SQUARE TISSUE BOX,1,2020-12-01T13:21,1.25,17905,21036,0,0.06298912,35,65,9,1
536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,2020-12-01T13:24,0.42,12433,21403,1,0.226012087,92,141,8,1
536544,21870,I CAN ONLY PLEASE ONE PERSON MUG,1,2020-12-01T14:32,3.36,NA,8361,1,0.127949957,27,171,11,2
536544,22371,AIRLINE BAG VINTAGE TOKYO 78,1,2020-12-01T14:32,8.47,NA,22310,0,0.059292444,34,171,9,1
536544,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,1,2020-12-01T14:32,8.47,NA,8081,0,0.189366351,68,136,5,2
536544,85099B,JUMBO BAG RED RETROSPOT,1,2020-12-01T14:32,4.21,NA,22315,0,0.071302942,82,130,7,2
536544,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,1,2020-12-01T14:32,5.91,NA,22209,0,0.028748304,42,141,1,3
536544,20835,FRENCH LATTICE CUSHION COVER ,1,2020-12-01T14:32,11.02,NA,8332,0,0.104385823,70,63,1,2
536544,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,1,2020-12-01T14:32,12.72,NA,20814,1,0.189029536,45,100,1,3
536544,21774,DECORATIVE CATS BATHROOM BOTTLE,2,2020-12-01T14:32,2.51,NA,21212,1,0.299585062,55,166,1,2
536544,22792,FLUTED ANTIQUE CANDLE HOLDER,2,2020-12-01T14:32,1.66,NA,20814,0,0.589194017,94,141,9,3
536544,85032D,YULETIDE IMAGES GIFT WRAP SET,2,2020-12-01T14:32,1.66,NA,22043,0,0.189029809,43,98,8,1
536544,22336,DOVE DECORATION PAINTED ZINC ,4,2020-12-01T14:32,1.28,NA,21029,0,0.559546314,36,35,5,2
536544,22866,HAND WARMER SCOTTY DOG DESIGN,4,2020-12-01T14:32,4.21,NA,19087,0,0.084516962,25,81,6,2
536544,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,4,2020-12-01T14:32,4.21,NA,21030,0,0,47,127,7,2
536544,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,4,2020-12-01T14:32,3.36,NA,19130,1,1,90,129,3,3
536544,21195,PINK  HONEYCOMB PAPER BALL ,5,2020-12-01T14:32,4.21,NA,22003,0,0,79,51,4,3
536544,21121,SET/10 RED POLKADOT PARTY CANDLES,7,2020-12-01T14:32,2.51,NA,20904,0,0,28,38,11,2
